frame_number,x,y,sequence_id,sequence_annotation,number_of_points,still_file,Path,CTsite,CT_serial_number,Folder,xres,yres,Camera_ID
152,922.248949,1107.04376,15,20,1,PICT0193.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10
152,913.6610981,913.8171148,16,40,1,PICT0193.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10
159,2360.713975,1128.513387,17,20,1,PICT0200.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10
159,2373.595751,922.4049657,18,40,1,PICT0200.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10
164,2614.055576,1184.334418,19,20,1,PICT0205.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10
164,2639.819129,913.8171148,20,40,1,PICT0205.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10
167,2691.346234,1368.973212,21,20,1,PICT0208.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10
167,2734.285489,896.641413,22,40,1,PICT0208.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10
176,3073.505599,1802.659683,23,20,1,PICT0217.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10
176,3052.035972,832.2325312,24,40,1,PICT0217.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10
0,-33.44419877,354.0748726,0,Lt,1,a(6)_01.jpeg,F:\Stills\RPPNP\OCCAJ11Stills\,OCCAJ11,B131000470,OCCAJ11Stills,720,480,B13
22,422.700863,402.8665085,1,Lt,1,a(7)_01.jpeg,F:\Stills\RPPNP\OCCAJ11Stills\,OCCAJ11,B131000470,OCCAJ11Stills,720,480,B13
22,422.700863,399.4624409,2,Lt,3,a(7)_01.jpeg,F:\Stills\RPPNP\OCCAJ11Stills\,OCCAJ11,B131000470,OCCAJ11Stills,720,480,B13
23,574.7492169,406.2705761,2,Lt,3,a(7)_02.jpeg,F:\Stills\RPPNP\OCCAJ11Stills\,OCCAJ11,B131000470,OCCAJ11Stills,720,480,B13
24,709.7772327,408.5399546,2,Lt,3,a(7)_03.jpeg,F:\Stills\RPPNP\OCCAJ11Stills\,OCCAJ11,B131000470,OCCAJ11Stills,720,480,B13
44,207.1099134,357.4789402,3,Lt,1,EK000002_01.jpeg,F:\Stills\RPPNP\OCCAJ11Stills\,OCCAJ11,B131000470,OCCAJ11Stills,720,480,B13
44,209.3792918,356.344251,4,Lt,7,EK000002_01.jpeg,F:\Stills\RPPNP\OCCAJ11Stills\,OCCAJ11,B131000470,OCCAJ11Stills,720,480,B13
45,232.073076,362.017697,4,Lt,7,EK000002_02.jpeg,F:\Stills\RPPNP\OCCAJ11Stills\,OCCAJ11,B131000470,OCCAJ11Stills,720,480,B13
46,294.4809824,377.9033459,4,Lt,7,EK000002_03.jpeg,F:\Stills\RPPNP\OCCAJ11Stills\,OCCAJ11,B131000470,OCCAJ11Stills,720,480,B13
47,364.8317133,391.5196164,4,Lt,7,EK000002_04.jpeg,F:\Stills\RPPNP\OCCAJ11Stills\,OCCAJ11,B131000470,OCCAJ11Stills,720,480,B13
48,440.8558903,408.5399546,4,Lt,7,EK000002_05.jpeg,F:\Stills\RPPNP\OCCAJ11Stills\,OCCAJ11,B131000470,OCCAJ11Stills,720,480,B13
49,534.46775,422.1562251,4,Lt,7,EK000002_06.jpeg,F:\Stills\RPPNP\OCCAJ11Stills\,OCCAJ11,B131000470,OCCAJ11Stills,720,480,B13
50,644.8260513,432.4438633,4,Lt,7,EK000002_07.jpeg,F:\Stills\RPPNP\OCCAJ11Stills\,OCCAJ11,B131000470,OCCAJ11Stills,720,480,B13
66,145.4079757,357.624676,5,Lt,1,EK000007_01.jpeg,F:\Stills\RPPNP\OCCAJ11Stills\,OCCAJ11,B131000470,OCCAJ11Stills,720,480,B13
66,146.3432156,358.5599158,6,Lt,6,EK000007_01.jpeg,F:\Stills\RPPNP\OCCAJ11Stills\,OCCAJ11,B131000470,OCCAJ11Stills,720,480,B13
67,201.5223662,364.1713548,6,Lt,6,EK000007_02.jpeg,F:\Stills\RPPNP\OCCAJ11Stills\,OCCAJ11,B131000470,OCCAJ11Stills,720,480,B13
68,218.3566834,364.1713548,6,Lt,6,EK000007_03.jpeg,F:\Stills\RPPNP\OCCAJ11Stills\,OCCAJ11,B131000470,OCCAJ11Stills,720,480,B13
69,361.4483792,388.4875907,6,Lt,6,EK000007_04.jpeg,F:\Stills\RPPNP\OCCAJ11Stills\,OCCAJ11,B131000470,OCCAJ11Stills,720,480,B13
70,468.0657212,403.4514282,6,Lt,6,EK000007_05.jpeg,F:\Stills\RPPNP\OCCAJ11Stills\,OCCAJ11,B131000470,OCCAJ11Stills,720,480,B13
71,636.4088928,413.7390535,6,Lt,6,EK000007_06.jpeg,F:\Stills\RPPNP\OCCAJ11Stills\,OCCAJ11,B131000470,OCCAJ11Stills,720,480,B13
125,1801.493974,2009.829448,7,20,1,EK000060.JPG,F:\Stills\RPPNP\OCCAJ11Stills\,OCCAJ11,B131000470,OCCAJ11Stills,3264,2448,B13
125,1806.167526,878.8299394,8,40,1,EK000060.JPG,F:\Stills\RPPNP\OCCAJ11Stills\,OCCAJ11,B131000470,OCCAJ11Stills,3264,2448,B13
128,1694.002286,1593.883348,9,20,1,EK000063.JPG,F:\Stills\RPPNP\OCCAJ11Stills\,OCCAJ11,B131000470,OCCAJ11Stills,3264,2448,B13
128,1698.675837,1065.772007,10,40,1,EK000063.JPG,F:\Stills\RPPNP\OCCAJ11Stills\,OCCAJ11,B131000470,OCCAJ11Stills,3264,2448,B13
133,1908.985663,1369.552867,11,20,1,EK000068.JPG,F:\Stills\RPPNP\OCCAJ11Stills\,OCCAJ11,B131000470,OCCAJ11Stills,3264,2448,B13
133,1899.63856,1033.057145,12,40,1,EK000068.JPG,F:\Stills\RPPNP\OCCAJ11Stills\,OCCAJ11,B131000470,OCCAJ11Stills,3264,2448,B13
138,3217.580136,2238.833481,13,20,1,EK000073.JPG,F:\Stills\RPPNP\OCCAJ11Stills\,OCCAJ11,B131000470,OCCAJ11Stills,3264,2448,B13
138,3231.600791,804.0531124,14,40,1,EK000073.JPG,F:\Stills\RPPNP\OCCAJ11Stills\,OCCAJ11,B131000470,OCCAJ11Stills,3264,2448,B13
143,2923.14638,1533.127176,15,20,1,EK000078.JPG,F:\Stills\RPPNP\OCCAJ11Stills\,OCCAJ11,B131000470,OCCAJ11Stills,3264,2448,B13
143,2918.472828,948.9332147,16,40,1,EK000078.JPG,F:\Stills\RPPNP\OCCAJ11Stills\,OCCAJ11,B131000470,OCCAJ11Stills,3264,2448,B13
