"species","frame_number","x","y","sequence_id","number_of_points","still_file","Path","site_id","CT_serial_number","Folder","xdim","ydim","cam_id","file_name","file_id","Time","Date","PA_cat","Dig","radius","angle","dtime","rtime","absangle"
"Mt",419,764.0779419,560.0177291,"OCGSV46_24",1,"PICT0034_01.jpeg","F:\Stills\PNGSV\OCGSV46Stills\","OCGSV46","B101028490","OCGSV46Stills",720,480,"B10","PICT0034","PICT0034_OCGSV46","21:52","24/05/2017","strict","Y",1.0090579209146,0.433536102503629,0.911111111111111,5.7246799465414,0.433536102503629
"Mt",440,629.2206711,412.0002311,"OCGSV46_25",1,"PICT0039_01.jpeg","F:\Stills\PNGSV\OCGSV46Stills\","OCGSV46","B101028490","OCGSV46Stills",720,480,"B10","PICT0039","PICT0039_OCGSV46","19:31","01/06/2017","strict","Y",2.60057902705767,0.28884744342464,0.813194444444444,5.1094513852134,0.28884744342464
"Mt",63,374.0253198,331.5643358,"OCGSV46_5",1,"PICT0007_01.jpeg","F:\Stills\PNGSV\OCGSV46Stills\","OCGSV46","B101028490","OCGSV46Stills",720,480,"B10","PICT0007","PICT0007_OCGSV46","00:27","14/04/2017","strict","Y",7.27249218923007,0.0150477961104933,0.01875,0.117809724509617,0.0150477961104933
"Mt",105,644.8712808,435.0479341,"OCGSV46_7",1,"PICT0009_01.jpeg","F:\Stills\PNGSV\OCGSV46Stills\","OCGSV46","B101028490","OCGSV46Stills",720,480,"B10","PICT0009","PICT0009_OCGSV46","00:30","14/04/2017","strict","Y",2.07730267667061,0.305639016602922,0.0208333333333333,0.130899693899575,0.305639016602922
"Mt",149,852.5949092,696.6064625,"OCGSV46_9",1,"PICT0015_03.jpeg","F:\Stills\PNGSV\OCGSV46Stills\","OCGSV46","B101028490","OCGSV46Stills",720,480,"B10","PICT0015","PICT0015_OCGSV46","21:15","14/04/2017","strict","Y",0.638164826795031,0.52850614919373,0.885416666666667,5.56323699073192,0.52850614919373
"Mt",43,787.0842576,317.9104631,"OCGSV53_20",1,"EK000167_01.jpeg","F:\Stills\PNGSV\OCGSV53Stills\","OCGSV53","B140926006","OCGSV53Stills",720,480,"B14","EK000167","EK000167_OCGSV53","18:26","13/05/2017","strict","Y",2.09485939690524,0.460215309070622,0.768055555555556,4.82583538176432,0.460215309070622
"Mt",131,7.216591768,335.5477431,"OCGSV53_27",1,"EK000171_01.jpeg","F:\Stills\PNGSV\OCGSV53Stills\","OCGSV53","B140926006","OCGSV53Stills",720,480,"B14","EK000171","EK000171_OCGSV53","18:30","13/05/2017","strict","Y",2.34133748507967,-0.380150573020038,0.770833333333333,4.84328867428426,0.380150573020038
"Mt",0,-19.55555556,285.3333333,"OCGSV54_0",1,"PICT0029_01.jpeg","F:\Stills\PNGSV\OCGSV54Stills\","OCGSV54","B110307278","OCGSV54Stills",720,480,"B11","PICT0029","PICT0029_OCGSV54","22:13","26/04/2017","strict","Y",3.10553842918943,-0.40542602380853,0.925694444444444,5.8163097322711,0.40542602380853
"Mt",0,490.6666667,304.8888889,"OCGSV56_0",1,"a(13)_01.jpeg","F:\Stills\PNGSV\OCGSV56Stills\","OCGSV56","B140621051","OCGSV56Stills",720,480,"B14","a(13)","a(13)_OCGSV56","03:11","29/05/2017","strict","Y",1.69054474714995,0.140803130367052,0.132638888888889,0.833394717827292,0.140803130367052
"Mt",24,740.9304553,450.0122427,"OCGSV56_2",1,"a(43)_03.jpeg","F:\Stills\PNGSV\OCGSV56Stills\","OCGSV56","B140621051","OCGSV56Stills",720,480,"B14","a(43)","a(43)_OCGSV56","23:12","09/06/2017","strict","Y",0.694872800916615,0.41048112661763,0.966666666666667,6.07374579694027,0.41048112661763
